tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8, te band 9, te band 10, te band 11, te band 12, te band 13, te band 14, te band 15, te band 16, te band 17, te band 18, te band 19, te band 20, te band 21, te band 22, te band 23, te band 24, te band 25, te band 26, te band 27, te band 28, te band 29, te band 30
tefreqs:, 1, 0.3, 0, 0, 0.3, 0.0969781, 0.105479, 0.108094, 0.110978, 0.111127, 0.117358, 0.117769, 0.12635, 0.126449, 0.136762, 0.137009, 0.148316, 0.148732, 0.160546, 0.161136, 0.172895, 0.173754, 0.184957, 0.18538, 0.193806, 0.195752, 0.199745, 0.217763, 0.223855, 0.238926, 0.242077, 0.249364, 0.253115, 0.263611, 0.264796
tefreqs:, 2, 0.305, 0, 0, 0.305, 0.0984844, 0.107061, 0.109814, 0.112618, 0.112726, 0.118836, 0.119271, 0.12769, 0.127802, 0.137967, 0.138199, 0.149373, 0.149772, 0.161452, 0.162029, 0.173648, 0.174496, 0.185543, 0.18596, 0.194223, 0.196148, 0.200043, 0.216511, 0.223896, 0.238034, 0.240904, 0.249549, 0.251988, 0.262716, 0.265125
tefreqs:, 3, 0.31, 0, 0, 0.31, 0.0999888, 0.108638, 0.111531, 0.11426, 0.114324, 0.120316, 0.120776, 0.129033, 0.129159, 0.139175, 0.139392, 0.15043, 0.150813, 0.162355, 0.16292, 0.174391, 0.175229, 0.186109, 0.186519, 0.194604, 0.196514, 0.200303, 0.215283, 0.223847, 0.237239, 0.239747, 0.249679, 0.250848, 0.261876, 0.265432
tefreqs:, 4, 0.315, 0, 0, 0.315, 0.101491, 0.110212, 0.113244, 0.115902, 0.11592, 0.121798, 0.122281, 0.130379, 0.130517, 0.140384, 0.140587, 0.151487, 0.151855, 0.163254, 0.163807, 0.175123, 0.175952, 0.186655, 0.187055, 0.194942, 0.196846, 0.200521, 0.214081, 0.223693, 0.236554, 0.238608, 0.249702, 0.24974, 0.261108, 0.26566
tefreqs:, 5, 0.32, 0, 0, 0.32, 0.102992, 0.111782, 0.114954, 0.117514, 0.117544, 0.123282, 0.123788, 0.131728, 0.131877, 0.141594, 0.141784, 0.152543, 0.152896, 0.164148, 0.164689, 0.175843, 0.176662, 0.187177, 0.187563, 0.195231, 0.197142, 0.200693, 0.212913, 0.223424, 0.23599, 0.237492, 0.248556, 0.249715, 0.260428, 0.26567
tefreqs:, 6, 0.325, 0, 0, 0.325, 0.104491, 0.113348, 0.116659, 0.119106, 0.119187, 0.124768, 0.125296, 0.133078, 0.133238, 0.142805, 0.142982, 0.153597, 0.153935, 0.165035, 0.165565, 0.176548, 0.177358, 0.187672, 0.188038, 0.195465, 0.197398, 0.200817, 0.211785, 0.223038, 0.23555, 0.236401, 0.247416, 0.24959, 0.25985, 0.265244
tefreqs:, 7, 0.33, 0, 0, 0.33, 0.105987, 0.11491, 0.118359, 0.120696, 0.120829, 0.126254, 0.126804, 0.13443, 0.134599, 0.144015, 0.14418, 0.154648, 0.154972, 0.165914, 0.166433, 0.177235, 0.178038, 0.188139, 0.188476, 0.195635, 0.197611, 0.200888, 0.210705, 0.222536, 0.235228, 0.23534, 0.246285, 0.249353, 0.259379, 0.264465
tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8, te band 9, te band 10, te band 11, te band 12, te band 13, te band 14, te band 15, te band 16, te band 17, te band 18, te band 19, te band 20, te band 21, te band 22, te band 23, te band 24, te band 25, te band 26, te band 27, te band 28, te band 29, te band 30
tefreqs:, 1, 0.3, 0, 0, 0.3, 0.0969781, 0.105479, 0.108094, 0.110978, 0.111127, 0.117358, 0.117769, 0.12635, 0.126449, 0.136762, 0.137009, 0.148316, 0.148732, 0.160546, 0.161136, 0.172895, 0.173754, 0.184957, 0.18538, 0.193806, 0.195752, 0.199745, 0.217763, 0.223855, 0.238926, 0.242077, 0.249364, 0.253115, 0.263611, 0.264796
tefreqs:, 2, 0.305, 0, 0, 0.305, 0.0984844, 0.107061, 0.109814, 0.112618, 0.112726, 0.118836, 0.119271, 0.12769, 0.127802, 0.137967, 0.138199, 0.149373, 0.149772, 0.161452, 0.162029, 0.173648, 0.174496, 0.185543, 0.18596, 0.194223, 0.196148, 0.200043, 0.216511, 0.223896, 0.238034, 0.240904, 0.249549, 0.251988, 0.262716, 0.265125
tefreqs:, 3, 0.31, 0, 0, 0.31, 0.0999888, 0.108638, 0.111531, 0.11426, 0.114324, 0.120316, 0.120776, 0.129033, 0.129159, 0.139175, 0.139392, 0.15043, 0.150813, 0.162355, 0.16292, 0.174391, 0.175229, 0.186109, 0.186519, 0.194604, 0.196514, 0.200303, 0.215283, 0.223847, 0.237239, 0.239747, 0.249679, 0.250848, 0.261876, 0.265432
tefreqs:, 4, 0.315, 0, 0, 0.315, 0.101491, 0.110212, 0.113244, 0.115902, 0.11592, 0.121798, 0.122281, 0.130379, 0.130517, 0.140384, 0.140587, 0.151487, 0.151855, 0.163254, 0.163807, 0.175123, 0.175952, 0.186655, 0.187055, 0.194942, 0.196846, 0.200521, 0.214081, 0.223693, 0.236554, 0.238608, 0.249702, 0.24974, 0.261108, 0.26566
tefreqs:, 5, 0.32, 0, 0, 0.32, 0.102992, 0.111782, 0.114954, 0.117514, 0.117544, 0.123282, 0.123788, 0.131728, 0.131877, 0.141594, 0.141784, 0.152543, 0.152896, 0.164148, 0.164689, 0.175843, 0.176662, 0.187177, 0.187563, 0.195231, 0.197142, 0.200693, 0.212913, 0.223424, 0.23599, 0.237492, 0.248556, 0.249715, 0.260428, 0.26567
