tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8, te band 9, te band 10, te band 11, te band 12, te band 13, te band 14, te band 15, te band 16, te band 17, te band 18, te band 19, te band 20, te band 21, te band 22, te band 23, te band 24, te band 25, te band 26, te band 27, te band 28, te band 29, te band 30
tefreqs:, 1, 0.3, 0, 0, 0.3, 0.0966003, 0.100877, 0.101991, 0.105223, 0.1059, 0.111929, 0.112253, 0.120739, 0.120791, 0.131003, 0.131068, 0.142351, 0.142575, 0.154599, 0.1547, 0.167085, 0.167272, 0.179305, 0.17959, 0.18986, 0.19019, 0.194939, 0.2149, 0.219025, 0.23722, 0.240182, 0.240493, 0.244127, 0.244474, 0.245325
tefreqs:, 2, 0.305, 0, 0, 0.305, 0.0981045, 0.102506, 0.103611, 0.106772, 0.107442, 0.113356, 0.113689, 0.122035, 0.122103, 0.132161, 0.132257, 0.143397, 0.143614, 0.155519, 0.155609, 0.167869, 0.168056, 0.179946, 0.180229, 0.190341, 0.190655, 0.195294, 0.21361, 0.219098, 0.237424, 0.239691, 0.239937, 0.243163, 0.243379, 0.244282
tefreqs:, 3, 0.31, 0, 0, 0.31, 0.099606, 0.104134, 0.105229, 0.108322, 0.108984, 0.114785, 0.115128, 0.123336, 0.123419, 0.133323, 0.13345, 0.144447, 0.144656, 0.156439, 0.156518, 0.168648, 0.168835, 0.180574, 0.180854, 0.190791, 0.191088, 0.195606, 0.212337, 0.219101, 0.237502, 0.238984, 0.239517, 0.242191, 0.24226, 0.243286
tefreqs:, 4, 0.315, 0, 0, 0.315, 0.101105, 0.105761, 0.106847, 0.109873, 0.110527, 0.116217, 0.11657, 0.12464, 0.124738, 0.13449, 0.134646, 0.145499, 0.145701, 0.157359, 0.157427, 0.16942, 0.169607, 0.181184, 0.181462, 0.191203, 0.191488, 0.195867, 0.211085, 0.219026, 0.237366, 0.238442, 0.238954, 0.241136, 0.241216, 0.242338
tefreqs:, 5, 0.32, 0, 0, 0.32, 0.102601, 0.107387, 0.108463, 0.111425, 0.112069, 0.117651, 0.118013, 0.125948, 0.12606, 0.13566, 0.135845, 0.146552, 0.146748, 0.158276, 0.158335, 0.170185, 0.170372, 0.181776, 0.182049, 0.191574, 0.191848, 0.196073, 0.209857, 0.218866, 0.236969, 0.238093, 0.238293, 0.240021, 0.240251, 0.241436
tefreqs:, 6, 0.325, 0, 0, 0.325, 0.104094, 0.109012, 0.110078, 0.112978, 0.113611, 0.119087, 0.119459, 0.127258, 0.127385, 0.136834, 0.137046, 0.147606, 0.147797, 0.159192, 0.15924, 0.170939, 0.171127, 0.182344, 0.182612, 0.191894, 0.192165, 0.196216, 0.208662, 0.218616, 0.236439, 0.237571, 0.237789, 0.238926, 0.239325, 0.240569
tefreqs:, 7, 0.33, 0, 0, 0.33, 0.105585, 0.110636, 0.111692, 0.114531, 0.115153, 0.120524, 0.120906, 0.12857, 0.128712, 0.13801, 0.138249, 0.14866, 0.148846, 0.160103, 0.160141, 0.171682, 0.171871, 0.182888, 0.183147, 0.192157, 0.192434, 0.196288, 0.207507, 0.218276, 0.235883, 0.236817, 0.237367, 0.237863, 0.238526, 0.239718
tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8, te band 9, te band 10, te band 11, te band 12, te band 13, te band 14, te band 15, te band 16, te band 17, te band 18, te band 19, te band 20, te band 21, te band 22, te band 23, te band 24, te band 25, te band 26, te band 27, te band 28, te band 29, te band 30
tefreqs:, 1, 0.3, 0, 0, 0.3, 0.0966003, 0.100877, 0.101991, 0.105223, 0.1059, 0.111929, 0.112253, 0.120739, 0.120791, 0.131003, 0.131068, 0.142351, 0.142575, 0.154599, 0.1547, 0.167085, 0.167272, 0.179305, 0.17959, 0.18986, 0.19019, 0.194939, 0.2149, 0.219025, 0.23722, 0.240182, 0.240493, 0.244127, 0.244474, 0.245325
tefreqs:, 2, 0.305, 0, 0, 0.305, 0.0981045, 0.102506, 0.103611, 0.106772, 0.107442, 0.113356, 0.113689, 0.122035, 0.122103, 0.132161, 0.132257, 0.143397, 0.143614, 0.155519, 0.155609, 0.167869, 0.168056, 0.179946, 0.180229, 0.190341, 0.190655, 0.195294, 0.21361, 0.219098, 0.237424, 0.239691, 0.239937, 0.243163, 0.243379, 0.244282
