r0,r1,r2,r3,s1,s2,s3,p1,p2,p3,bandwidth,ng0,GBP,avgLoss,loss_at_ng0,delay
0.237322,0.2,0.383745,0.2,-0.062471,-0.094858,-0.046694,-0.135418,0.005009,0.006596,0.0082,62.5219,0.4926,1285.1698,1540.8785,12.4435
0.2,0.266403,0.240238,0.265909,-0.131561,-0.09365,-0.019961,-0.152738,-0.19244,0.001644,0.0269,15.7606,0.4085,40.6681,90.6617,39.5632
0.297091,0.2,0.341488,0.238264,-0.095711,-0.149409,0.05995,-0.141671,-0.158791,0.030778,0.0003,380.9951,0.0996,181196.7298,194523.6899,0.6443
0.223115,0.244706,0.292582,0.2,-0.123115,-0.092381,-0.07421,0.124599,-0.259401,-0.000774,0.0106,-40.3523,0.417,769.7103,1192.1118,9.8851
0.2,0.2,0.2,0.2,-0.108935,-0.204392,-0.018858,0.124599,0.171362,0.001644,0.0081,10.0121,0.0798,16.1227,16.9695,98.4533
0.2,0.227629,0.28966,0.272386,-0.131717,-0.116947,-0.07051,-0.145734,-0.157476,-0.050961,0.0226,18.2646,0.4083,38.7985,44.3262,99.75
0.2279,0.237683,0.4,0.2,0.063663,-0.097843,0.094071,0.124599,0.169217,0.030888,0.012,37.4894,0.4268,606.1237,953.6069,11.3567
0.206353,0.2,0.292582,0.2,-0.123115,-0.095436,-0.07421,0.124599,0.211272,-0.042682,0.0206,22.0646,0.4357,63.3115,80.0124,71.0916
0.235128,0.242938,0.2,0.278004,0.067113,-0.048079,0.084515,0.124599,0.126122,-0.027806,0.0075,10.1029,0.0744,87.0622,93.358,18.2198
0.2279,0.237683,0.4,0.2,0.063663,-0.077118,-0.091657,0.067357,0.200715,0.05068,0.0008,-254.0296,0.1904,34682.6201,22482.7879,3.6922
0.237322,0.2,0.383745,0.2,-0.062471,-0.101481,-0.046694,-0.115785,0.005009,0.006596,0.011,44.9453,0.4916,673.0206,773.5868,17.2122
0.2,0.2,0.310876,0.2,-0.13246,-0.095436,-0.078033,0.124599,0.234399,-0.001729,0.0167,28.6613,0.4584,129.2733,185.3727,42.5472
0.220114,0.203036,0.383745,0.2,-0.069293,-0.101481,-0.046694,-0.141671,0.005009,0.004437,0.0052,69.0947,0.3644,1883.1668,1357.8032,15.7349
0.223115,0.231531,0.383745,0.2,0.058,-0.101481,-0.040287,-0.141671,0.269865,-0.002661,0.0123,-26.8646,0.3303,485.7201,384.5908,18.9505
0.266314,0.2,0.203594,0.213233,0.063663,-0.095436,-0.020123,-0.152738,-0.209395,0.001035,0.0075,10.4972,0.0768,49.7396,53.9651,33.9555
0.2,0.260604,0.4,0.2,-0.134903,-0.085618,0.059225,0.117367,0.145875,-0.052244,0.0227,20.716,0.4599,259.5147,296.3903,17.6749
0.2,0.2,0.203594,0.213233,-0.108935,-0.109988,-0.020123,-0.152738,-0.209395,0.001035,0.0375,11.5557,0.4195,13.8079,27.1317,80.5416
0.237322,0.2,0.383745,0.2,-0.062471,-0.094858,-0.046694,-0.135418,0.005009,0.006596,0.0082,62.4751,0.4926,1285.2097,1538.093,12.4559
0.2,0.266403,0.240238,0.265909,-0.131561,-0.09365,-0.019961,-0.152738,-0.19244,0.001644,0.0269,15.7606,0.4085,40.6683,90.6617,39.5632
0.297091,0.2,0.341488,0.238264,-0.095711,-0.149409,0.05995,-0.141671,-0.158791,0.030778,0.0003,375.6987,0.1003,183528.2947,189144.7702,0.6533
0.237322,0.2,0.383745,0.2,-0.062471,-0.094858,-0.046694,-0.135418,0.005009,0.006596,0.0082,62.5274,0.4927,1285.3869,1541.2559,12.4417
0.2,0.266403,0.240238,0.265909,-0.131561,-0.09365,-0.019961,-0.152738,-0.19244,0.001644,0.0269,15.7606,0.4085,40.6702,90.6622,39.5631
0.297091,0.2,0.341488,0.238264,-0.095711,-0.149409,0.05995,-0.141671,-0.158791,0.030778,0.0003,376.24,0.0992,179849.0024,160174.2677,0.7726
0.223115,0.244706,0.292582,0.2,-0.123115,-0.092381,-0.07421,0.124599,-0.259401,-0.000774,0.0106,-40.3224,0.417,769.6215,1190.3198,9.8916
0.2,0.2,0.2,0.2,-0.108935,-0.204392,-0.018858,0.124599,0.171362,0.001644,0.0081,10.0128,0.0798,16.1244,16.9732,98.4456
0.2,0.227629,0.28966,0.272386,-0.131717,-0.116947,-0.07051,-0.145734,-0.157476,-0.050961,0.0226,18.2646,0.4083,38.796,44.3263,99.7499
0.2279,0.237683,0.4,0.2,0.063663,-0.097843,0.094071,0.124599,0.169217,0.030888,0.012,37.4894,0.4269,606.2426,953.6071,11.3567
0.206353,0.2,0.292582,0.2,-0.123115,-0.095436,-0.07421,0.124599,0.211272,-0.042682,0.0206,22.0338,0.4358,63.3212,79.7521,71.1948
0.235128,0.242938,0.2,0.278004,0.067113,-0.048079,0.084515,0.124599,0.126122,-0.027806,0.0075,10.1029,0.0744,87.063,93.3589,18.2196
0.2279,0.237683,0.4,0.2,0.063663,-0.077118,-0.091657,0.067357,0.200715,0.05068,0.0008,-254.0302,0.1902,34639.3859,22482.897,3.6921
0.237322,0.2,0.383745,0.2,-0.062471,-0.101481,-0.046694,-0.115785,0.005009,0.006596,0.011,44.9455,0.4918,673.3339,773.5911,17.2121
0.2,0.2,0.310876,0.2,-0.13246,-0.095436,-0.078033,0.124599,0.234399,-0.001729,0.0167,28.6611,0.4585,129.3439,185.3703,42.5474
0.220114,0.203036,0.383745,0.2,-0.069293,-0.101481,-0.046694,-0.141671,0.005009,0.004437,0.0052,68.9547,0.3646,1884.8082,1352.0729,15.7671
0.223115,0.231531,0.383745,0.2,0.058,-0.101481,-0.040287,-0.141671,0.269865,-0.002661,0.0123,-26.8646,0.3303,485.6036,384.5901,18.9505
0.266314,0.2,0.203594,0.213233,0.063663,-0.095436,-0.020123,-0.152738,-0.209395,0.001035,0.0075,10.4993,0.0768,49.7443,53.9518,33.9767
0.2,0.260604,0.4,0.2,-0.134903,-0.085618,0.059225,0.117367,0.145875,-0.052244,0.0227,20.716,0.4599,259.5211,296.3903,17.6749
0.2,0.2,0.203594,0.213233,-0.108935,-0.109988,-0.020123,-0.152738,-0.209395,0.001035,0.0375,11.5557,0.4195,13.8108,27.1317,80.5416
0.223115,0.231531,0.383745,0.2,-0.07594,-0.101481,-0.040287,-0.141671,0.00519,0.004437,0.0029,102.071,0.2909,4682.8697,5212.0764,6.2081
0.2,0.2,0.310876,0.2,-0.13246,-0.095436,-0.078033,0.124599,0.211272,-0.042682,0.0196,25.0844,0.4843,98.9417,119.1384,56.1936
0.2,0.250731,0.286036,0.2,-0.136598,-0.206823,-0.040287,0.172176,-0.175329,0.001427,1e-08,11698.3728,0.0584,148159814.808,144122161.497,0.027
0.2,0.260604,0.355695,0.2,-0.134903,-0.092188,0.080771,-0.141671,-0.183314,-0.050542,0.0187,27.203,0.4905,221.5385,225.3815,32.8377
0.2,0.2,0.244564,0.227293,0.198186,0.161428,0.032375,0.226132,0.305666,-0.002079,0.0379,11.2352,0.4145,131.2605,292.9543,7.0947
